AWND,WSF2,WSF5
8.9,14.3,17.9
9.5,14.8,19.2
8.7,13.4,17
8.5,14.8,18.3
9.8,15.7,20.1
3.4,6.7,8.9
4.2,28.6,37.1
4.1,10.3,13
5.6,12.5,15.7
4.9,9.8,13
4.3,8.1,10.7
3.8,8.1,11.2
2.3,7.6,9.4
4.1,8.9,12.5
7,14.8,17.4
6.2,10.7,14.8
7.6,11.6,14.8
5.8,10.7,13.9
6.4,9.8,13.9
3.6,10.7,12.5
5.5,10.3,12.5
5.2,10.7,13
5.6,9.8,13.9
3.4,12.5,15.7
3.3,10.7,13.9
3.6,6.7,13.4
2.5,6.3,0
4.1,9.4,11.6
4.4,8.1,10.3
5.1,11.2,13.4
4.3,8.1,10.3
3.4,10.3,12.5
4.5,18.3,24.1
3.2,7.2,9.4
3.5,8.9,10.7
4.5,11.6,13.9
3.8,7.6,8.9
4.5,8.1,11.2
5.5,10.7,13.4
2.4,6.3,7.2
2.1,5.4,8.9
3.4,6.7,8.9
5.1,9.4,14.8
5.2,12.5,15.7
4.1,16.1,20.1
4.1,14.3,17.4
3,16.5,21.5
3.7,6.7,10.3
3.7,13,17.4
4.4,12.5,14.3
2.7,5.4,8.1
2.1,5.8,6.3
3.4,9.4,12.5
3.7,13.4,16.1
3.2,6.3,9.4
4.1,12.5,15.7
2.4,5.4,6.3
3.3,5.8,7.2
3.3,6.3,8.9
4.4,8.1,9.8
4.5,7.6,9.4
4.6,7.6,9.8
3.4,6.7,8.1
4.1,8.9,10.7
5,8.9,11.2
4.6,8.1,13
5,8.9,11.6
4.2,8.1,11.6
3.5,6.7,9.8
3.4,7.6,11.2
2.8,5.8,7.2
2.2,8.9,10.3
4,8.1,10.3
1.9,6.3,7.6
2,4.5,5.4
2.2,5.8,7.2
3.1,5.8,7.2
4.3,8.1,9.8
3.8,6.7,8.1
3.8,8.1,10.3
5.5,12.5,14.8
5.7,10.7,14.8
3.8,7.2,8.9
4.2,7.6,9.8
4.8,7.6,9.8
4.8,8.1,10.3
5.1,22.8,28.2
3.9,8.9,9.8
5.1,9.4,12.5
7.3,13.9,17.9
6.5,19.2,21.9
4,9.4,11.2
1.8,5.4,6.7
4.7,8.1,10.7
7.1,12.5,15.7
5.9,11.2,13
3.3,8.1,10.7
7.5,13.4,16.1
7.8,12.5,15.7
5.9,11.6,15.7
1.6,5.4,6.3
4.3,7.6,9.8
